"word","count"
"no","8709850"
"true","7787779"
"false","7762412"
"answer","6697140"
"text","6624678"
"provided.","6396725"
"not","4355829"
"=","3966613"
"+","2971453"
"will","2701164"
"b","2418472"
"can","2120331"
"2","2102256"
"1","2081558"
"x","1861833"
"3","1779519"
"one","1757480"
"4","1568308"
"new","1565671"
"-","1565538"
"people","1535645"
"technician","1509014"
"none","1444149"
"use","1323757"
"c","1249413"
"5","1207338"
"y","1198816"
"time","1154509"
" ","1087994"
"two","1083308"
"number","1081605"
"change","1067558"
"la","1058718"
"water","1047541"
"−","986993"
"increase","978425"
"make","954718"
"de","949933"
"used","939392"
"system","928844"
"government","901718"
"social","895212"
"right","885347"
"less","877161"
"d","860802"
"energy","859257"
"6","834797"
"information","816679"
"first","810877"
"10","790635"
"work","788314"
"high","785495"
"el","782490"
"many","777177"
"answer_text","773920"
"must","751243"
"may","713874"
"cell","712424"
"group","705309"
"states","698071"
"blood","696142"
"agree","693280"
"neither","687897"
"0","680880"
"state","678808"
"rate","663451"
"power","661030"
"control","652822"
"different","647462"
"cells","635607"
"united","616428"
"8","615732"
"american","614474"
"good","612530"
"disagree","609647"
"b.","596778"
"data","596318"
"line","594523"
"using","584106"
"person","580538"
"body","576695"
"amount","575486"
"left","572333"
"made","569461"
"a.","553647"
"7","553507"
"price","545609"
"value","541056"
"increased","539845"
"need","538348"
"war","536288"
"get","535117"
"take","531596"
"money","529250"
"like","528080"
"per","526138"
"form","519980"
"c.","518309"
"large","516869"
"students","516141"
